district,traffic,weather,intervention,density,stress,roi
Bangsar,4898.618956967013,2,0,6500,54.5,0.0
Cheras,7555.172864042522,1,1,9500,40.8,0.072
Bangsar,4805.93539841035,0,3,6500,33.0,0.0
Bangsar,5820.285161978462,2,2,6500,59.1,0.092
Bangsar,4921.052620072505,0,0,6500,33.6,0.0
Bukit Bintang,8085.282051884378,2,2,11000,70.4,0.156
Bukit Bintang,8131.713699570745,2,0,11000,70.7,0.0
Bukit Bintang,8328.76826474684,2,2,11000,71.6,0.156
Bangsar,5849.606643915365,2,0,6500,59.2,0.0
Cheras,6146.442120005598,0,0,9500,39.7,0.0
Bangsar,5176.301287520756,1,3,6500,34.9,0.0
Cheras,7135.515926691426,2,1,9500,59.7,0.072
Cheras,7093.797673213472,1,0,9500,44.5,0.0
Cheras,8213.390320323691,1,0,9500,50.1,0.0
Bangsar,6103.004179145648,2,0,6500,60.5,0.0
Bukit Bintang,8899.178876934762,1,1,11000,47.5,0.083
Bangsar,6228.547608062245,2,1,6500,55.1,0.049
Cheras,7509.942859452133,2,3,9500,67.5,0.0
Bukit Bintang,9227.920369247631,2,2,11000,76.1,0.156
Bangsar,4825.115273040521,2,3,6500,54.1,0.0
Bukit Bintang,8213.557090093558,2,1,11000,65.1,0.083
Bangsar,5870.819640442905,2,1,6500,53.4,0.049
Cheras,7225.7658087684285,1,2,9500,45.1,0.135
Cheras,7691.47965536464,1,1,9500,41.5,0.072
Cheras,7434.907605756326,2,1,9500,61.2,0.072
Bukit Bintang,8777.986009059474,2,3,11000,73.9,0.0
Bangsar,6865.140595257628,1,2,6500,43.3,0.092
Bangsar,6228.5553337236215,1,0,6500,40.1,0.0
Bangsar,6411.694552487991,0,3,6500,41.1,0.0
Cheras,6184.362021781011,2,3,9500,60.9,0.0
Bukit Bintang,8545.174184039735,2,0,11000,72.7,0.0
Bangsar,5822.256229289059,2,0,6500,59.1,0.0
Cheras,6790.968667233796,2,0,9500,64.0,0.0
Bukit Bintang,8448.737092963736,2,3,11000,72.2,0.0
Bangsar,6132.630611382927,2,3,6500,60.7,0.0
Bukit Bintang,7592.902037689003,0,2,11000,62.0,0.021
Cheras,5590.493647932219,0,0,9500,37.0,0.0
Bangsar,5626.125254387068,2,3,6500,58.1,0.0
Bangsar,4514.822796963274,0,3,6500,31.6,0.0
Cheras,7131.054328154617,2,1,9500,59.7,0.072
Bangsar,5092.783392068035,2,3,6500,55.5,0.0
Bangsar,5553.696591606284,2,1,6500,51.8,0.049
Bukit Bintang,8652.161459541878,1,1,11000,46.3,0.083
Bangsar,4876.37970119899,1,0,6500,33.4,0.0
Cheras,7611.769844160275,2,1,9500,62.1,0.072
Bukit Bintang,8122.7313378829695,2,2,11000,70.6,0.156
Cheras,5593.142493260815,0,1,9500,31.0,0.072
Bangsar,5698.633553209039,2,3,6500,58.5,0.0
Bangsar,6238.536333855456,2,1,6500,55.2,0.049
Bangsar,5460.2636062653055,0,0,6500,36.3,0.0
Cheras,6671.569416833419,1,3,9500,42.4,0.0
Bangsar,5271.694361173861,2,3,6500,56.4,0.0
Cheras,7949.690321494532,2,0,9500,69.7,0.0
Cheras,7369.837067229209,1,1,9500,39.8,0.072
Bukit Bintang,8517.173957282119,1,0,11000,51.6,0.0
Cheras,6595.682682228583,2,1,9500,57.0,0.072
Bangsar,5532.061038199612,2,2,6500,57.7,0.092
Cheras,7271.594418133042,1,1,9500,39.4,0.072
Bukit Bintang,7917.512523532858,1,2,11000,48.6,0.156
Bangsar,5448.101435787158,1,3,6500,36.2,0.0
Bukit Bintang,8021.256728813171,1,0,11000,49.1,0.0
Bukit Bintang,7341.6457306971215,2,0,11000,66.7,0.0
Bangsar,4400.134044495988,0,2,6500,46.0,0.012
Cheras,6001.38745918522,0,2,9500,54.0,0.018
Cheras,7148.8094545333815,2,1,9500,59.7,0.072
Bangsar,5466.696489828423,0,1,6500,30.3,0.049
Bukit Bintang,8930.411812128332,2,1,11000,68.7,0.083
Cheras,7175.487841761202,2,1,9500,59.9,0.072
Bangsar,5757.932102117873,1,3,6500,37.8,0.0
Bangsar,6220.72823685487,1,3,6500,40.1,0.0
Bukit Bintang,7717.192955038834,2,3,11000,68.6,0.0
Bangsar,4518.334748243178,0,0,6500,31.6,0.0
Bukit Bintang,6954.847927475012,0,1,11000,37.8,0.083
Cheras,7145.65232948765,1,1,9500,38.7,0.072
Bukit Bintang,8009.250453096225,2,1,11000,64.0,0.083
Cheras,7241.245010827539,1,0,9500,45.2,0.0
Bukit Bintang,8671.846823212732,1,0,11000,52.4,0.0
Bangsar,5533.049037586723,2,0,6500,57.7,0.0
Bangsar,5880.428294489468,2,2,6500,59.4,0.092
Cheras,7068.897226237741,2,3,9500,65.3,0.0
Bangsar,5504.467802754351,0,1,6500,30.5,0.049
Bangsar,4726.791306795826,0,3,6500,32.6,0.0
Bangsar,5490.985743418009,1,2,6500,36.5,0.092
Cheras,6455.234650220909,2,3,9500,62.3,0.0
Bukit Bintang,7865.585545132575,2,2,11000,69.3,0.156
Bukit Bintang,8760.809244432554,1,1,11000,46.8,0.083
Cheras,6519.46378573974,1,0,9500,41.6,0.0
Bukit Bintang,8591.596619988597,2,1,11000,67.0,0.083
Bangsar,5031.011191685278,0,0,6500,34.2,0.0
Cheras,6948.498309369408,0,3,9500,43.7,0.0
Bangsar,4906.37581950382,1,0,6500,33.5,0.0
Bukit Bintang,8803.811839882355,2,3,11000,74.0,0.0
Bangsar,4386.745519147329,0,3,6500,30.9,0.0
Bukit Bintang,8267.455083996783,2,0,11000,71.3,0.0
Cheras,6276.39647403622,0,3,9500,40.4,0.0
Bangsar,5088.351851818559,0,2,6500,49.4,0.012
Bangsar,5064.71835692355,2,3,6500,55.3,0.0
Bukit Bintang,6828.867196070422,0,3,11000,43.1,0.0
Cheras,5503.690427495103,0,1,9500,30.5,0.072
Bangsar,5146.309356940714,2,2,6500,55.7,0.092
Bukit Bintang,7560.162489073855,0,3,11000,46.8,0.0
Bukit Bintang,7768.670853168339,2,0,11000,68.8,0.0
Bukit Bintang,8140.565863056709,1,3,11000,49.7,0.0
Bangsar,4441.637954407581,0,3,6500,31.2,0.0
Bangsar,4326.677961807036,0,0,6500,30.6,0.0
Cheras,6760.7356849359985,1,1,9500,36.8,0.072
Cheras,7469.744534012653,1,0,9500,46.3,0.0
Cheras,7396.810726161804,1,3,9500,46.0,0.0
Bukit Bintang,7639.596719002436,0,3,11000,47.2,0.0
Bangsar,4927.441396301691,0,0,6500,33.6,0.0
Bukit Bintang,9522.008733893785,2,3,11000,77.6,0.0
Bukit Bintang,9170.320724298366,1,1,11000,48.9,0.083
Cheras,7080.7878906298265,1,2,9500,44.4,0.135
Cheras,6281.689372394592,2,2,9500,61.4,0.135
Bukit Bintang,8823.094083823187,2,0,11000,74.1,0.0
Bangsar,4508.008247004198,0,0,6500,31.5,0.0
Cheras,6654.846550511131,2,3,9500,63.3,0.0
Cheras,5433.562549642842,0,2,9500,51.2,0.018
Bukit Bintang,9778.269849301554,1,2,11000,57.9,0.156
Cheras,7652.32491690634,1,1,9500,41.3,0.072
Cheras,6271.821731685613,2,3,9500,61.4,0.0
Bangsar,4924.812143214864,0,2,6500,48.6,0.012
Bukit Bintang,7712.088729749652,0,1,11000,41.6,0.083
Bukit Bintang,7676.790535446746,0,0,11000,47.4,0.0
Bukit Bintang,8327.175270255982,2,3,11000,71.6,0.0
Bukit Bintang,9024.184595955467,2,1,11000,69.1,0.083
Bukit Bintang,6845.481295590629,0,3,11000,43.2,0.0
Bangsar,6080.662018044614,2,0,6500,60.4,0.0
Cheras,7393.5933563724675,1,2,9500,46.0,0.135
Cheras,5882.501570053979,0,2,9500,53.4,0.018
Bangsar,5020.692092507365,1,3,6500,34.1,0.0
Bukit Bintang,7663.1221557906765,0,3,11000,47.3,0.0
Cheras,5974.627787774708,0,3,9500,38.9,0.0
Bukit Bintang,8944.287737878512,2,3,11000,74.7,0.0
Cheras,6020.818443410817,0,3,9500,39.1,0.0
Bangsar,4823.867612379165,1,2,6500,33.1,0.092
Bukit Bintang,9003.546376068727,1,1,11000,48.0,0.083
Bangsar,5086.418399026143,2,3,6500,55.4,0.0
Cheras,6209.05670375497,1,2,9500,40.0,0.135
Cheras,7347.143530874931,1,1,9500,39.7,0.072
Cheras,6709.250112304803,2,3,9500,63.5,0.0
Bangsar,6250.036209709621,1,3,6500,40.3,0.0
Bukit Bintang,7007.031363924015,0,2,11000,59.0,0.021
Bukit Bintang,8728.800924814803,2,0,11000,73.6,0.0
Cheras,5597.394308408702,0,2,9500,52.0,0.018
Cheras,7231.648906960985,2,0,9500,66.2,0.0
Cheras,5493.124811094989,0,0,9500,36.5,0.0
Bangsar,5211.652572731375,2,1,6500,50.1,0.049
Bukit Bintang,7967.390499652725,2,3,11000,69.8,0.0
Cheras,6273.491750009803,2,2,9500,61.4,0.135
Bukit Bintang,8635.96525781679,2,3,11000,73.2,0.0
Cheras,5998.529626843201,1,0,9500,39.0,0.0
Cheras,7362.436443091471,1,3,9500,45.8,0.0
Cheras,6951.131623142153,1,3,9500,43.8,0.0
Bukit Bintang,8552.297735313625,2,2,11000,72.8,0.156
Cheras,5347.752595590783,0,2,9500,50.7,0.018
Bukit Bintang,8183.8935149951085,2,2,11000,70.9,0.156
Cheras,5648.53737597671,0,1,9500,31.2,0.072
Bangsar,5656.703653533577,2,3,6500,58.3,0.0
Cheras,6275.851461210737,2,2,9500,61.4,0.135
Cheras,7355.706792985237,2,3,9500,66.8,0.0
Cheras,6796.356079525326,2,0,9500,64.0,0.0
Bangsar,4615.108337189643,2,0,6500,53.1,0.0
Bukit Bintang,9190.740791787208,1,3,11000,55.0,0.0
Bangsar,5943.387303241786,2,1,6500,53.7,0.049
Cheras,6443.266371979486,2,3,9500,62.2,0.0
Bukit Bintang,7794.510118748545,2,3,11000,69.0,0.0
Cheras,6688.889439954603,2,0,9500,63.4,0.0
Cheras,6604.614805816505,1,0,9500,42.0,0.0
Cheras,7344.882217024503,2,2,9500,66.7,0.135
Cheras,7172.763333978502,2,3,9500,65.9,0.0
Bukit Bintang,8294.511026660995,1,1,11000,44.5,0.083
Bukit Bintang,8287.143839767321,2,3,11000,71.4,0.0
Bukit Bintang,8977.902149551228,2,2,11000,74.9,0.156
Cheras,7298.937696189423,2,3,9500,66.5,0.0
Bukit Bintang,6521.504403227863,0,3,11000,41.6,0.0
Bangsar,4901.729352343181,0,3,6500,33.5,0.0
Cheras,7078.983783936122,2,0,9500,65.4,0.0
Bangsar,5679.935991614066,1,0,6500,37.4,0.0
Bukit Bintang,6504.898547006214,0,3,11000,41.5,0.0
Bangsar,5609.538679011915,1,1,6500,31.0,0.049
Bukit Bintang,7654.439203425491,2,0,11000,68.3,0.0
Bangsar,6698.905199332217,2,1,6500,57.5,0.049
Cheras,6248.232985473247,0,1,9500,34.2,0.072
Bukit Bintang,8754.876333125261,2,1,11000,67.8,0.083
Bangsar,5079.3930286610075,1,3,6500,34.4,0.0
Bukit Bintang,7513.298207698118,0,1,11000,40.6,0.083
Cheras,7551.043948438578,1,1,9500,40.8,0.072
Bangsar,5383.507395288666,1,3,6500,35.9,0.0
Cheras,5979.50498128109,0,3,9500,38.9,0.0
Bangsar,5909.471858558995,2,0,6500,59.5,0.0
Cheras,7967.783784918755,1,3,9500,48.8,0.0
Cheras,7672.737261529816,1,1,9500,41.4,0.072
Bukit Bintang,8150.259423597521,1,1,11000,43.8,0.083
Bangsar,4066.8738747199513,0,3,6500,29.3,0.0
Bukit Bintang,7566.045085573182,1,0,11000,46.8,0.0
Cheras,7555.093341802474,1,0,9500,46.8,0.0
Bukit Bintang,8703.366715843382,2,0,11000,73.5,0.0
Bangsar,5232.188763256256,1,0,6500,35.2,0.0
Cheras,7775.314109963879,1,1,9500,41.9,0.072
Bangsar,5667.901145177352,2,1,6500,52.3,0.049
Cheras,6983.554080599771,1,2,9500,43.9,0.135
Bangsar,5122.999250889118,1,1,6500,28.6,0.049
Cheras,5777.484884353374,0,3,9500,37.9,0.0
Cheras,5267.979733803749,0,1,9500,29.3,0.072
Bukit Bintang,7243.703220126975,0,2,11000,60.2,0.021
Bukit Bintang,8796.21038928619,2,2,11000,74.0,0.156
Bukit Bintang,8017.320865656746,1,3,11000,49.1,0.0
Cheras,5627.770511574432,0,0,9500,37.1,0.0
Cheras,7389.53461132588,2,3,9500,66.9,0.0
Cheras,6824.117448823866,0,1,9500,37.1,0.072
Bangsar,4621.255478285504,1,2,6500,32.1,0.092
Bukit Bintang,7979.025777879316,1,3,11000,48.9,0.0
Bukit Bintang,8528.939738826937,2,1,11000,66.6,0.083
Bukit Bintang,9372.887560266341,2,1,11000,70.9,0.083
Bukit Bintang,9585.2626034108,1,3,11000,56.9,0.0
Cheras,6017.085237040034,0,1,9500,33.1,0.072
Cheras,6802.48356670123,1,3,9500,43.0,0.0
Bangsar,5692.755300083404,2,0,6500,58.5,0.0
Bangsar,4417.6161515490385,0,1,6500,25.1,0.049
Bukit Bintang,8453.412874732589,2,3,11000,72.3,0.0
Bangsar,5431.84753492293,2,3,6500,57.2,0.0
Cheras,6141.236708417398,1,0,9500,39.7,0.0
Cheras,6028.554004073834,0,3,9500,39.1,0.0
Bukit Bintang,7720.84784235176,2,2,11000,68.6,0.156
Cheras,7251.366960013659,1,3,9500,45.3,0.0
Cheras,6221.926190682474,2,2,9500,61.1,0.135
Bukit Bintang,8630.59099262709,2,2,11000,73.2,0.156
Bukit Bintang,8568.4484919643,2,1,11000,66.8,0.083
Bangsar,5187.314419301673,2,1,6500,49.9,0.049
Bangsar,5163.419488313711,1,1,6500,28.8,0.049
Bangsar,5208.293747425714,0,3,6500,35.0,0.0
Bangsar,4309.1144190487175,0,0,6500,30.5,0.0
Cheras,6086.842424386809,1,1,9500,33.4,0.072
Cheras,6635.344344932301,2,1,9500,57.2,0.072
Bukit Bintang,7592.732115263309,0,2,11000,62.0,0.021
Cheras,6542.48881113166,1,2,9500,41.7,0.135
Bukit Bintang,6771.482259938517,0,1,11000,36.9,0.083
Bukit Bintang,9224.810227352327,2,3,11000,76.1,0.0
Bangsar,5908.584106926859,2,1,6500,53.5,0.049
Bukit Bintang,7141.532405975412,0,3,11000,44.7,0.0
Bukit Bintang,9245.805455726117,2,3,11000,76.2,0.0
Bukit Bintang,8619.088402780853,2,0,11000,73.1,0.0
Cheras,7494.639510798849,1,3,9500,46.5,0.0
Bukit Bintang,7356.841079474589,1,0,11000,45.8,0.0
Bangsar,5557.121368623032,1,3,6500,36.8,0.0
Bukit Bintang,8563.586581357633,2,0,11000,72.8,0.0
Bukit Bintang,8523.69553926542,1,0,11000,51.6,0.0
Bangsar,5883.975134576835,1,2,6500,38.4,0.092
Bukit Bintang,7756.06815095029,2,3,11000,68.8,0.0
Cheras,7548.275190228856,2,1,9500,61.7,0.072
Cheras,6812.388173408626,2,3,9500,64.1,0.0
Bukit Bintang,6998.68225909742,0,0,11000,44.0,0.0
Bukit Bintang,8712.665196360478,2,3,11000,73.6,0.0
Bukit Bintang,8150.23846731887,1,3,11000,49.8,0.0
Bangsar,5302.213236854057,2,0,6500,56.5,0.0
Bukit Bintang,8345.28689540103,2,0,11000,71.7,0.0
Bukit Bintang,8546.049846802342,2,3,11000,72.7,0.0
Bukit Bintang,6839.5152981007295,0,0,11000,43.2,0.0
Bangsar,5402.034585307295,2,1,6500,51.0,0.049
Bangsar,5131.733153835126,0,2,6500,49.7,0.012
Bukit Bintang,7617.242420979602,0,0,11000,47.1,0.0
Bukit Bintang,8755.53755704219,2,3,11000,73.8,0.0
Bukit Bintang,8262.493516059281,1,1,11000,44.3,0.083
Bukit Bintang,7993.698111108027,1,0,11000,49.0,0.0
Bukit Bintang,8528.215094335907,1,3,11000,51.6,0.0
Cheras,6388.763407257875,0,1,9500,34.9,0.072
Bangsar,4828.510727952131,0,0,6500,33.1,0.0
Bukit Bintang,7990.044945589679,2,0,11000,70.0,0.0
Bangsar,5551.332350889066,2,2,6500,57.8,0.092
Bangsar,5065.035408616411,1,2,6500,34.3,0.092
Bukit Bintang,7914.764884154351,2,2,11000,69.6,0.156
Bukit Bintang,9183.386625717962,1,3,11000,54.9,0.0
Bukit Bintang,7875.628991686244,0,3,11000,48.4,0.0
Cheras,6097.266684813997,2,3,9500,60.5,0.0
Cheras,6615.936713625096,2,3,9500,63.1,0.0
Cheras,6351.597953093155,2,1,9500,55.8,0.072
Bangsar,4209.607445674338,2,1,6500,45.0,0.049
Bangsar,4902.5102303798185,2,1,6500,48.5,0.049
Bangsar,5240.075027356031,2,0,6500,56.2,0.0
Bukit Bintang,8281.323756006734,2,2,11000,71.4,0.156
Bukit Bintang,7858.769026298218,2,3,11000,69.3,0.0
Bangsar,5749.658338470238,2,3,6500,58.7,0.0
Bukit Bintang,8039.380296151257,1,1,11000,43.2,0.083
Bukit Bintang,8430.194514922518,2,1,11000,66.2,0.083
Cheras,6949.579748537094,2,2,9500,64.7,0.135
Cheras,7257.29715042405,2,0,9500,66.3,0.0
Bangsar,5234.371671635788,0,0,6500,35.2,0.0
Cheras,7086.753447193327,2,0,9500,65.4,0.0
Bangsar,4939.84574427784,2,1,6500,48.7,0.049
Bangsar,4573.926192959997,0,3,6500,31.9,0.0
Cheras,7513.34810348414,1,1,9500,40.6,0.072
Cheras,7455.97620271848,1,1,9500,40.3,0.072
Cheras,7268.3775926181015,1,3,9500,45.3,0.0
Bangsar,5243.772909582503,1,3,6500,35.2,0.0
Cheras,7098.615806017851,2,3,9500,65.5,0.0
Bangsar,3997.6033624990328,0,0,6500,29.0,0.0
Cheras,6874.293500977258,1,0,9500,43.4,0.0
Cheras,6612.78772420047,1,3,9500,42.1,0.0
Cheras,5707.503165966674,0,2,9500,52.5,0.018
Bangsar,4687.649014856438,1,0,6500,32.4,0.0
Cheras,7770.864897488795,1,2,9500,47.9,0.135
Cheras,7059.861790828651,1,2,9500,44.3,0.135
Bangsar,4292.788107110979,0,0,6500,30.5,0.0
Bangsar,4481.469865831418,0,2,6500,46.4,0.012
Bukit Bintang,7369.855698531095,0,0,11000,45.8,0.0
Bukit Bintang,9078.119048476197,1,0,11000,54.4,0.0
Cheras,5568.22050179077,0,3,9500,36.8,0.0
Bangsar,5784.888843354338,2,2,6500,58.9,0.092
Bangsar,5791.553464170363,1,2,6500,38.0,0.092
Cheras,7021.459357357198,1,3,9500,44.1,0.0
Bangsar,4144.0341878891095,0,1,6500,23.7,0.049
Cheras,6624.443876319275,0,3,9500,42.1,0.0
Bangsar,5185.806194084631,2,1,6500,49.9,0.049
Bangsar,4924.650214992563,0,1,6500,27.6,0.049
Cheras,7424.590388416684,2,2,9500,67.1,0.135
Cheras,6579.746838052624,2,1,9500,56.9,0.072
Cheras,6855.587676808454,1,3,9500,43.3,0.0
Cheras,6775.9765907362325,2,2,9500,63.9,0.135
Bukit Bintang,7582.32763798903,0,0,11000,46.9,0.0
Bangsar,5104.121004668076,2,2,6500,55.5,0.092
Bangsar,4707.432353118798,2,1,6500,47.5,0.049
Cheras,6081.087547803218,0,0,9500,39.4,0.0
Bukit Bintang,8375.687759044367,2,1,11000,65.9,0.083
Bukit Bintang,8940.467661037304,2,1,11000,68.7,0.083
Bangsar,5514.990682742834,2,1,6500,51.6,0.049
Cheras,7220.054286677413,2,2,9500,66.1,0.135
Bukit Bintang,6830.607779593017,2,2,11000,64.2,0.156
Bangsar,5367.3871789145305,1,1,6500,29.8,0.049
Bukit Bintang,7303.787857682038,0,3,11000,45.5,0.0
Cheras,7597.789180487179,2,1,9500,62.0,0.072
Bangsar,4987.700520993197,1,2,6500,33.9,0.092
Bukit Bintang,7140.107524405401,0,3,11000,44.7,0.0
Bangsar,5069.816515935259,0,2,6500,49.3,0.012
Bukit Bintang,7311.202949720183,0,1,11000,39.6,0.083
Cheras,6941.406609279337,2,2,9500,64.7,0.135
Bangsar,5136.446815307407,2,3,6500,55.7,0.0
Bangsar,4448.452707389273,0,3,6500,31.2,0.0
Bangsar,5770.608231468855,2,2,6500,58.9,0.092
Bangsar,4821.72377701252,0,2,6500,48.1,0.012
Cheras,7247.862253891279,2,2,9500,66.2,0.135
Cheras,6696.948574563361,2,2,9500,63.5,0.135
Cheras,7451.941173411666,2,0,9500,67.3,0.0
Cheras,5262.030468060321,0,2,9500,50.3,0.018
Bangsar,5056.601175166264,0,0,6500,34.3,0.0
Bangsar,5579.241633391697,2,1,6500,51.9,0.049
Bukit Bintang,8854.773473750463,2,2,11000,74.3,0.156
Cheras,7701.462109973462,2,1,9500,62.5,0.072
Cheras,7010.910117693637,2,3,9500,65.1,0.0
Bangsar,4678.376495547607,2,0,6500,53.4,0.0
Bukit Bintang,9006.95984582491,2,3,11000,75.0,0.0
Bangsar,4617.465882202118,0,3,6500,32.1,0.0
Bangsar,5760.844556603623,2,3,6500,58.8,0.0
Bukit Bintang,7829.404429678568,0,1,11000,42.1,0.083
Bukit Bintang,7879.192965050254,2,3,11000,69.4,0.0
Bangsar,4859.974884876603,2,3,6500,54.3,0.0
Bangsar,5150.096623814992,2,3,6500,55.8,0.0
Bangsar,5025.534696150802,1,1,6500,28.1,0.049
Bukit Bintang,8191.952498295403,0,3,11000,50.0,0.0
Bangsar,5285.776652622787,1,1,6500,29.4,0.049
Bangsar,3927.8139451693587,0,2,6500,43.6,0.012
Bukit Bintang,8408.888165179816,2,0,11000,72.0,0.0
Bukit Bintang,9012.073929025246,2,3,11000,75.1,0.0
Cheras,7949.676917653886,1,2,9500,48.7,0.135
Bukit Bintang,7474.052097607659,2,1,11000,61.4,0.083
Bangsar,5174.676014075218,0,0,6500,34.9,0.0
Cheras,6708.644354610752,1,0,9500,42.5,0.0
Bangsar,4672.1239702760795,0,0,6500,32.4,0.0
Cheras,7373.988202698659,2,2,9500,66.9,0.135
Bangsar,5023.76263285591,0,3,6500,34.1,0.0
Bangsar,3970.211888364935,0,0,6500,28.9,0.0
Bukit Bintang,8842.061903232765,2,3,11000,74.2,0.0
Bangsar,6115.447528439691,1,0,6500,39.6,0.0
Bangsar,4373.815749373591,2,0,6500,51.9,0.0
Bangsar,4858.582421869619,2,2,6500,54.3,0.092
Bukit Bintang,8778.67145039638,2,1,11000,67.9,0.083
Bukit Bintang,8473.509017637778,2,0,11000,72.4,0.0
Bukit Bintang,9038.109861728954,1,3,11000,54.2,0.0
Bangsar,5713.384141484184,1,0,6500,37.6,0.0
Bangsar,5904.470167964053,2,2,6500,59.5,0.092
Cheras,7066.816908916924,1,0,9500,44.3,0.0
Cheras,6791.8038598145195,2,0,9500,64.0,0.0
Cheras,5938.202408732471,0,3,9500,38.7,0.0
Cheras,5472.436006076332,0,2,9500,51.4,0.018
Bangsar,5214.455770584393,1,0,6500,35.1,0.0
Bukit Bintang,7867.886371377515,1,1,11000,42.3,0.083
Bangsar,4609.525346630975,0,0,6500,32.0,0.0
Bangsar,4768.773673180208,0,0,6500,32.8,0.0
Bukit Bintang,7512.54889482639,0,2,11000,61.6,0.021
Cheras,7227.027022313752,2,2,9500,66.1,0.135
Bukit Bintang,8248.382907925397,2,0,11000,71.2,0.0
Bangsar,5337.380035034683,2,0,6500,56.7,0.0
Cheras,6831.275217335566,1,1,9500,37.2,0.072
Cheras,7244.233313612206,2,0,9500,66.2,0.0
Cheras,6187.602293929145,2,3,9500,60.9,0.0
Bukit Bintang,8403.797086340432,1,0,11000,51.0,0.0
Cheras,7144.21119568718,1,0,9500,44.7,0.0
Cheras,6336.941892029874,0,1,9500,34.7,0.072
Bangsar,4462.266315507188,1,0,6500,31.3,0.0
Cheras,6414.479347033048,1,3,9500,41.1,0.0
Cheras,5720.088180857439,0,0,9500,37.6,0.0
Bangsar,4722.922565000683,0,2,6500,47.6,0.012
Bangsar,5597.194159330721,1,3,6500,37.0,0.0
Bangsar,5683.496157172091,1,2,6500,37.4,0.092
Bangsar,4382.619503963477,0,0,6500,30.9,0.0
Bangsar,5704.665425591749,1,1,6500,31.5,0.049
Cheras,6064.37863569371,0,3,9500,39.3,0.0
Bangsar,4769.201255770124,1,0,6500,32.8,0.0
Bangsar,5980.8919549912025,1,2,6500,38.9,0.092
Bukit Bintang,7586.2545908316615,0,0,11000,46.9,0.0
Bangsar,5359.114874129664,1,3,6500,35.8,0.0
Cheras,6769.988723345243,0,3,9500,42.8,0.0
Bukit Bintang,8971.5965084935,1,0,11000,53.9,0.0
Bangsar,5328.682399056913,2,0,6500,56.6,0.0
Bangsar,4945.732906031466,0,2,6500,48.7,0.012
Bukit Bintang,8174.030855911727,1,3,11000,49.9,0.0
Cheras,6715.518944914841,1,1,9500,36.6,0.072
Cheras,5408.491954121392,0,1,9500,30.0,0.072
Bangsar,4947.521130114488,0,2,6500,48.7,0.012
Bangsar,5501.481949887788,1,3,6500,36.5,0.0
Bukit Bintang,8067.5734500953995,2,3,11000,70.3,0.0
Bangsar,5725.330149257913,1,0,6500,37.6,0.0
Cheras,6171.0002260799065,0,2,9500,54.9,0.018
Bukit Bintang,7187.8718381173985,0,1,11000,38.9,0.083
Bangsar,5119.045990580089,2,2,6500,55.6,0.092
Cheras,6062.3028047421485,0,3,9500,39.3,0.0
Bangsar,4854.786790088337,0,3,6500,33.3,0.0
Bukit Bintang,7575.862210218594,0,0,11000,46.9,0.0
Bukit Bintang,7279.914876292986,0,3,11000,45.4,0.0
Bangsar,5032.180264681661,0,1,6500,28.2,0.049
Bangsar,3804.0820706333325,0,1,6500,22.0,0.049
Cheras,6944.593649220845,1,1,9500,37.7,0.072
Bukit Bintang,8402.701983271461,2,0,11000,72.0,0.0
Bangsar,5356.961807436701,1,1,6500,29.8,0.049
Bangsar,5127.648786128984,2,2,6500,55.6,0.092
Bukit Bintang,8586.216178568839,2,1,11000,66.9,0.083
Bangsar,5199.150777192197,2,2,6500,56.0,0.092
Bukit Bintang,7178.840997048669,0,2,11000,59.9,0.021
Bangsar,5204.930918210801,2,2,6500,56.0,0.092
Cheras,6815.6756336097815,2,3,9500,64.1,0.0
Cheras,6577.06591547054,2,0,9500,62.9,0.0
Bukit Bintang,8826.149712957082,1,2,11000,53.1,0.156
Bukit Bintang,8100.827504862306,2,3,11000,70.5,0.0
Cheras,5197.643042314837,0,0,9500,35.0,0.0
Cheras,7224.912179359826,2,1,9500,60.1,0.072
Bukit Bintang,9021.494902205899,2,0,11000,75.1,0.0
Bangsar,5962.621365009714,1,3,6500,38.8,0.0
Bangsar,4579.911858173512,0,1,6500,25.9,0.049
Cheras,7016.45443972982,2,2,9500,65.1,0.135
Bukit Bintang,8836.55488458411,1,0,11000,53.2,0.0
Bangsar,4465.514751694415,0,2,6500,46.3,0.012
Bukit Bintang,6533.190079043021,0,0,11000,41.7,0.0
Bangsar,4235.85521790401,0,1,6500,24.2,0.049
Cheras,7700.355061937255,2,1,9500,62.5,0.072
Bukit Bintang,7795.843201622162,2,0,11000,69.0,0.0
Cheras,6584.053524828372,2,3,9500,62.9,0.0
Cheras,7380.118566309285,2,2,9500,66.9,0.135
Cheras,5423.40792537729,0,3,9500,36.1,0.0
Bukit Bintang,8108.403226328836,2,0,11000,70.5,0.0
Bukit Bintang,8357.138742409865,2,3,11000,71.8,0.0
Bangsar,5323.636299739496,2,0,6500,56.6,0.0
Cheras,6805.343459008281,2,3,9500,64.0,0.0
Cheras,6709.35058079058,1,0,9500,42.5,0.0
Cheras,5689.881109133012,0,1,9500,31.4,0.072
Bangsar,4902.71664778056,1,0,6500,33.5,0.0
Bangsar,5054.017710636601,1,1,6500,28.3,0.049
Cheras,7417.21029964562,2,1,9500,61.1,0.072
Cheras,6802.416487020179,1,1,9500,37.0,0.072
Bukit Bintang,8851.11614258075,1,1,11000,47.3,0.083
Bukit Bintang,9622.961138520375,2,1,11000,72.1,0.083
Bukit Bintang,7028.463934965843,0,2,11000,59.1,0.021
